[1/4] Environment check
=== System ===
Python: 3.12.3 | packaged by Anaconda, Inc. | (main, May  6 2024, 19:46:43) [GCC 11.2.0]
Platform: Linux-5.15.0-78-generic-x86_64-with-glibc2.35
HF_HOME: /root/autodl-tmp/cache
TRANSFORMERS_CACHE: /root/autodl-tmp/cache/transformers
HF_DATASETS_CACHE: /root/autodl-tmp/cache/datasets

=== Packages ===
torch: 2.8.0+cu128
transformers: 5.5.0
datasets: 4.8.4
trl: 1.0.0
peft: 0.18.1
accelerate: 1.13.0
bitsandbytes: 0.49.2

=== CUDA ===
torch.cuda.is_available(): True
torch.version.cuda: 12.8
bf16_supported: True
device_count: 1
GPU 0: NVIDIA GeForce RTX 5090 | 31.4 GB | cc 12.0
[2/4] SFT warm start
{'loss': '1.753', 'grad_norm': '0.2679', 'learning_rate': '1.991e-05', 'entropy': '2.423', 'num_tokens': '1.406e+05', 'mean_token_accuracy': '0.5989', 'epoch': '0.005234'}
{'loss': '1.708', 'grad_norm': '0.2317', 'learning_rate': '1.98e-05', 'entropy': '2.261', 'num_tokens': '2.957e+05', 'mean_token_accuracy': '0.6093', 'epoch': '0.01047'}
{'loss': '1.661', 'grad_norm': '0.2548', 'learning_rate': '1.97e-05', 'entropy': '2.171', 'num_tokens': '4.443e+05', 'mean_token_accuracy': '0.6123', 'epoch': '0.0157'}
{'loss': '1.674', 'grad_norm': '0.2872', 'learning_rate': '1.959e-05', 'entropy': '2.129', 'num_tokens': '5.839e+05', 'mean_token_accuracy': '0.6103', 'epoch': '0.02094'}
{'loss': '1.67', 'grad_norm': '0.3622', 'learning_rate': '1.949e-05', 'entropy': '2.077', 'num_tokens': '7.264e+05', 'mean_token_accuracy': '0.6075', 'epoch': '0.02617'}
{'loss': '1.673', 'grad_norm': '0.2719', 'learning_rate': '1.938e-05', 'entropy': '2.035', 'num_tokens': '8.688e+05', 'mean_token_accuracy': '0.6041', 'epoch': '0.03141'}
{'loss': '1.599', 'grad_norm': '0.2873', 'learning_rate': '1.928e-05', 'entropy': '1.973', 'num_tokens': '1.014e+06', 'mean_token_accuracy': '0.6184', 'epoch': '0.03664'}
{'loss': '1.643', 'grad_norm': '0.2924', 'learning_rate': '1.917e-05', 'entropy': '2.013', 'num_tokens': '1.157e+06', 'mean_token_accuracy': '0.6142', 'epoch': '0.04187'}
{'loss': '1.655', 'grad_norm': '0.2896', 'learning_rate': '1.907e-05', 'entropy': '2.005', 'num_tokens': '1.304e+06', 'mean_token_accuracy': '0.6128', 'epoch': '0.04711'}
{'loss': '1.634', 'grad_norm': '0.3361', 'learning_rate': '1.896e-05', 'entropy': '2.027', 'num_tokens': '1.445e+06', 'mean_token_accuracy': '0.611', 'epoch': '0.05234'}
{'loss': '1.645', 'grad_norm': '0.3718', 'learning_rate': '1.886e-05', 'entropy': '2.019', 'num_tokens': '1.586e+06', 'mean_token_accuracy': '0.6106', 'epoch': '0.05758'}
{'loss': '1.648', 'grad_norm': '0.3047', 'learning_rate': '1.875e-05', 'entropy': '2.029', 'num_tokens': '1.728e+06', 'mean_token_accuracy': '0.6156', 'epoch': '0.06281'}
{'loss': '1.666', 'grad_norm': '0.3156', 'learning_rate': '1.865e-05', 'entropy': '2.044', 'num_tokens': '1.878e+06', 'mean_token_accuracy': '0.6068', 'epoch': '0.06805'}
{'loss': '1.642', 'grad_norm': '0.3059', 'learning_rate': '1.855e-05', 'entropy': '2.001', 'num_tokens': '2.019e+06', 'mean_token_accuracy': '0.6087', 'epoch': '0.07328'}
{'loss': '1.611', 'grad_norm': '0.3209', 'learning_rate': '1.844e-05', 'entropy': '2.03', 'num_tokens': '2.171e+06', 'mean_token_accuracy': '0.6203', 'epoch': '0.07851'}
{'loss': '1.606', 'grad_norm': '0.3978', 'learning_rate': '1.834e-05', 'entropy': '2.025', 'num_tokens': '2.323e+06', 'mean_token_accuracy': '0.6149', 'epoch': '0.08375'}
{'loss': '1.655', 'grad_norm': '0.3371', 'learning_rate': '1.823e-05', 'entropy': '2.004', 'num_tokens': '2.473e+06', 'mean_token_accuracy': '0.6181', 'epoch': '0.08898'}
{'loss': '1.547', 'grad_norm': '0.5346', 'learning_rate': '1.813e-05', 'entropy': '1.965', 'num_tokens': '2.629e+06', 'mean_token_accuracy': '0.6254', 'epoch': '0.09422'}
{'loss': '1.625', 'grad_norm': '0.3245', 'learning_rate': '1.802e-05', 'entropy': '1.962', 'num_tokens': '2.781e+06', 'mean_token_accuracy': '0.6169', 'epoch': '0.09945'}
{'loss': '1.613', 'grad_norm': '0.336', 'learning_rate': '1.792e-05', 'entropy': '2.002', 'num_tokens': '2.928e+06', 'mean_token_accuracy': '0.6169', 'epoch': '0.1047'}
{'loss': '1.636', 'grad_norm': '0.3165', 'learning_rate': '1.781e-05', 'entropy': '2.027', 'num_tokens': '3.076e+06', 'mean_token_accuracy': '0.6124', 'epoch': '0.1099'}
{'loss': '1.633', 'grad_norm': '0.3549', 'learning_rate': '1.771e-05', 'entropy': '2.031', 'num_tokens': '3.22e+06', 'mean_token_accuracy': '0.613', 'epoch': '0.1152'}
{'loss': '1.577', 'grad_norm': '0.3566', 'learning_rate': '1.76e-05', 'entropy': '1.975', 'num_tokens': '3.37e+06', 'mean_token_accuracy': '0.6277', 'epoch': '0.1204'}
{'loss': '1.588', 'grad_norm': '0.3112', 'learning_rate': '1.75e-05', 'entropy': '1.937', 'num_tokens': '3.524e+06', 'mean_token_accuracy': '0.6234', 'epoch': '0.1256'}
{'loss': '1.623', 'grad_norm': '0.2968', 'learning_rate': '1.739e-05', 'entropy': '2.012', 'num_tokens': '3.677e+06', 'mean_token_accuracy': '0.6189', 'epoch': '0.1309'}
{'loss': '1.635', 'grad_norm': '0.3302', 'learning_rate': '1.729e-05', 'entropy': '1.979', 'num_tokens': '3.824e+06', 'mean_token_accuracy': '0.6227', 'epoch': '0.1361'}
{'loss': '1.61', 'grad_norm': '0.3211', 'learning_rate': '1.718e-05', 'entropy': '2.004', 'num_tokens': '3.978e+06', 'mean_token_accuracy': '0.6272', 'epoch': '0.1413'}
{'loss': '1.639', 'grad_norm': '0.3513', 'learning_rate': '1.708e-05', 'entropy': '2.054', 'num_tokens': '4.114e+06', 'mean_token_accuracy': '0.6108', 'epoch': '0.1466'}
{'loss': '1.583', 'grad_norm': '0.3111', 'learning_rate': '1.698e-05', 'entropy': '1.968', 'num_tokens': '4.264e+06', 'mean_token_accuracy': '0.6242', 'epoch': '0.1518'}
{'loss': '1.653', 'grad_norm': '0.2942', 'learning_rate': '1.687e-05', 'entropy': '2.002', 'num_tokens': '4.404e+06', 'mean_token_accuracy': '0.613', 'epoch': '0.157'}
{'loss': '1.647', 'grad_norm': '0.2846', 'learning_rate': '1.677e-05', 'entropy': '1.993', 'num_tokens': '4.557e+06', 'mean_token_accuracy': '0.6096', 'epoch': '0.1623'}
{'loss': '1.605', 'grad_norm': '0.2982', 'learning_rate': '1.666e-05', 'entropy': '1.973', 'num_tokens': '4.705e+06', 'mean_token_accuracy': '0.6201', 'epoch': '0.1675'}
{'loss': '1.587', 'grad_norm': '0.2543', 'learning_rate': '1.656e-05', 'entropy': '2.012', 'num_tokens': '4.846e+06', 'mean_token_accuracy': '0.6267', 'epoch': '0.1727'}
{'loss': '1.636', 'grad_norm': '0.3027', 'learning_rate': '1.645e-05', 'entropy': '2.035', 'num_tokens': '4.984e+06', 'mean_token_accuracy': '0.6171', 'epoch': '0.178'}
{'loss': '1.605', 'grad_norm': '0.2928', 'learning_rate': '1.635e-05', 'entropy': '1.958', 'num_tokens': '5.132e+06', 'mean_token_accuracy': '0.6223', 'epoch': '0.1832'}
{'loss': '1.675', 'grad_norm': '0.2633', 'learning_rate': '1.624e-05', 'entropy': '1.983', 'num_tokens': '5.282e+06', 'mean_token_accuracy': '0.6086', 'epoch': '0.1884'}
{'loss': '1.561', 'grad_norm': '0.2451', 'learning_rate': '1.614e-05', 'entropy': '1.958', 'num_tokens': '5.428e+06', 'mean_token_accuracy': '0.6257', 'epoch': '0.1937'}
{'loss': '1.542', 'grad_norm': '0.3409', 'learning_rate': '1.603e-05', 'entropy': '1.945', 'num_tokens': '5.579e+06', 'mean_token_accuracy': '0.6345', 'epoch': '0.1989'}
{'loss': '1.617', 'grad_norm': '0.3107', 'learning_rate': '1.593e-05', 'entropy': '1.989', 'num_tokens': '5.728e+06', 'mean_token_accuracy': '0.6202', 'epoch': '0.2041'}
{'loss': '1.554', 'grad_norm': '0.2556', 'learning_rate': '1.582e-05', 'entropy': '1.947', 'num_tokens': '5.879e+06', 'mean_token_accuracy': '0.6343', 'epoch': '0.2094'}
{'loss': '1.623', 'grad_norm': '0.2844', 'learning_rate': '1.572e-05', 'entropy': '1.948', 'num_tokens': '6.025e+06', 'mean_token_accuracy': '0.6143', 'epoch': '0.2146'}
{'loss': '1.634', 'grad_norm': '0.265', 'learning_rate': '1.561e-05', 'entropy': '2.009', 'num_tokens': '6.167e+06', 'mean_token_accuracy': '0.614', 'epoch': '0.2198'}
{'loss': '1.578', 'grad_norm': '0.2588', 'learning_rate': '1.551e-05', 'entropy': '1.949', 'num_tokens': '6.308e+06', 'mean_token_accuracy': '0.6226', 'epoch': '0.2251'}
{'loss': '1.65', 'grad_norm': '0.2795', 'learning_rate': '1.541e-05', 'entropy': '2.003', 'num_tokens': '6.451e+06', 'mean_token_accuracy': '0.6082', 'epoch': '0.2303'}
{'loss': '1.588', 'grad_norm': '0.263', 'learning_rate': '1.53e-05', 'entropy': '1.969', 'num_tokens': '6.597e+06', 'mean_token_accuracy': '0.6183', 'epoch': '0.2355'}
{'loss': '1.562', 'grad_norm': '0.3343', 'learning_rate': '1.52e-05', 'entropy': '1.923', 'num_tokens': '6.748e+06', 'mean_token_accuracy': '0.6333', 'epoch': '0.2408'}
{'loss': '1.596', 'grad_norm': '0.2502', 'learning_rate': '1.509e-05', 'entropy': '1.984', 'num_tokens': '6.889e+06', 'mean_token_accuracy': '0.6224', 'epoch': '0.246'}
{'loss': '1.637', 'grad_norm': '0.3073', 'learning_rate': '1.499e-05', 'entropy': '1.987', 'num_tokens': '7.033e+06', 'mean_token_accuracy': '0.6144', 'epoch': '0.2512'}
{'loss': '1.657', 'grad_norm': '0.2603', 'learning_rate': '1.488e-05', 'entropy': '1.99', 'num_tokens': '7.181e+06', 'mean_token_accuracy': '0.6107', 'epoch': '0.2565'}
{'loss': '1.547', 'grad_norm': '0.2978', 'learning_rate': '1.478e-05', 'entropy': '1.956', 'num_tokens': '7.327e+06', 'mean_token_accuracy': '0.6291', 'epoch': '0.2617'}
{'loss': '1.59', 'grad_norm': '0.2766', 'learning_rate': '1.467e-05', 'entropy': '1.99', 'num_tokens': '7.476e+06', 'mean_token_accuracy': '0.6164', 'epoch': '0.2669'}
{'loss': '1.585', 'grad_norm': '0.2288', 'learning_rate': '1.457e-05', 'entropy': '1.942', 'num_tokens': '7.624e+06', 'mean_token_accuracy': '0.623', 'epoch': '0.2722'}
{'loss': '1.609', 'grad_norm': '0.2515', 'learning_rate': '1.446e-05', 'entropy': '1.976', 'num_tokens': '7.766e+06', 'mean_token_accuracy': '0.6144', 'epoch': '0.2774'}
{'loss': '1.64', 'grad_norm': '0.2288', 'learning_rate': '1.436e-05', 'entropy': '2.021', 'num_tokens': '7.909e+06', 'mean_token_accuracy': '0.6132', 'epoch': '0.2826'}
{'loss': '1.563', 'grad_norm': '0.3355', 'learning_rate': '1.425e-05', 'entropy': '1.965', 'num_tokens': '8.047e+06', 'mean_token_accuracy': '0.6269', 'epoch': '0.2879'}
{'loss': '1.638', 'grad_norm': '0.2651', 'learning_rate': '1.415e-05', 'entropy': '2.024', 'num_tokens': '8.188e+06', 'mean_token_accuracy': '0.6122', 'epoch': '0.2931'}
{'loss': '1.619', 'grad_norm': '0.4469', 'learning_rate': '1.405e-05', 'entropy': '1.962', 'num_tokens': '8.338e+06', 'mean_token_accuracy': '0.613', 'epoch': '0.2984'}
{'loss': '1.525', 'grad_norm': '0.2515', 'learning_rate': '1.394e-05', 'entropy': '1.931', 'num_tokens': '8.491e+06', 'mean_token_accuracy': '0.6371', 'epoch': '0.3036'}
{'loss': '1.587', 'grad_norm': '0.2111', 'learning_rate': '1.384e-05', 'entropy': '2.006', 'num_tokens': '8.642e+06', 'mean_token_accuracy': '0.6242', 'epoch': '0.3088'}
{'loss': '1.641', 'grad_norm': '0.2432', 'learning_rate': '1.373e-05', 'entropy': '1.988', 'num_tokens': '8.797e+06', 'mean_token_accuracy': '0.6165', 'epoch': '0.3141'}
{'loss': '1.568', 'grad_norm': '0.2035', 'learning_rate': '1.363e-05', 'entropy': '1.922', 'num_tokens': '8.954e+06', 'mean_token_accuracy': '0.6281', 'epoch': '0.3193'}
{'loss': '1.561', 'grad_norm': '0.2079', 'learning_rate': '1.352e-05', 'entropy': '1.964', 'num_tokens': '9.11e+06', 'mean_token_accuracy': '0.6302', 'epoch': '0.3245'}
{'loss': '1.561', 'grad_norm': '0.2695', 'learning_rate': '1.342e-05', 'entropy': '1.967', 'num_tokens': '9.257e+06', 'mean_token_accuracy': '0.6235', 'epoch': '0.3298'}
{'loss': '1.594', 'grad_norm': '0.2945', 'learning_rate': '1.331e-05', 'entropy': '1.975', 'num_tokens': '9.406e+06', 'mean_token_accuracy': '0.6254', 'epoch': '0.335'}
{'loss': '1.572', 'grad_norm': '0.2781', 'learning_rate': '1.321e-05', 'entropy': '1.964', 'num_tokens': '9.548e+06', 'mean_token_accuracy': '0.6264', 'epoch': '0.3402'}
{'loss': '1.604', 'grad_norm': '0.2147', 'learning_rate': '1.31e-05', 'entropy': '1.962', 'num_tokens': '9.699e+06', 'mean_token_accuracy': '0.6173', 'epoch': '0.3455'}
{'loss': '1.564', 'grad_norm': '0.1867', 'learning_rate': '1.3e-05', 'entropy': '1.924', 'num_tokens': '9.848e+06', 'mean_token_accuracy': '0.6304', 'epoch': '0.3507'}
{'loss': '1.579', 'grad_norm': '0.2485', 'learning_rate': '1.289e-05', 'entropy': '1.984', 'num_tokens': '9.993e+06', 'mean_token_accuracy': '0.6295', 'epoch': '0.3559'}
{'loss': '1.648', 'grad_norm': '0.2346', 'learning_rate': '1.279e-05', 'entropy': '1.988', 'num_tokens': '1.014e+07', 'mean_token_accuracy': '0.618', 'epoch': '0.3612'}
{'loss': '1.579', 'grad_norm': '0.2506', 'learning_rate': '1.268e-05', 'entropy': '1.953', 'num_tokens': '1.028e+07', 'mean_token_accuracy': '0.6251', 'epoch': '0.3664'}
{'loss': '1.612', 'grad_norm': '0.2044', 'learning_rate': '1.258e-05', 'entropy': '1.985', 'num_tokens': '1.043e+07', 'mean_token_accuracy': '0.6174', 'epoch': '0.3716'}
{'loss': '1.637', 'grad_norm': '0.1956', 'learning_rate': '1.248e-05', 'entropy': '1.996', 'num_tokens': '1.057e+07', 'mean_token_accuracy': '0.6162', 'epoch': '0.3769'}
{'loss': '1.578', 'grad_norm': '0.2081', 'learning_rate': '1.237e-05', 'entropy': '1.899', 'num_tokens': '1.072e+07', 'mean_token_accuracy': '0.6223', 'epoch': '0.3821'}
{'loss': '1.553', 'grad_norm': '0.2633', 'learning_rate': '1.227e-05', 'entropy': '1.971', 'num_tokens': '1.086e+07', 'mean_token_accuracy': '0.6284', 'epoch': '0.3873'}
{'loss': '1.583', 'grad_norm': '0.226', 'learning_rate': '1.216e-05', 'entropy': '1.924', 'num_tokens': '1.101e+07', 'mean_token_accuracy': '0.6224', 'epoch': '0.3926'}
{'loss': '1.576', 'grad_norm': '0.2115', 'learning_rate': '1.206e-05', 'entropy': '1.925', 'num_tokens': '1.115e+07', 'mean_token_accuracy': '0.6287', 'epoch': '0.3978'}
{'loss': '1.582', 'grad_norm': '0.2285', 'learning_rate': '1.195e-05', 'entropy': '1.999', 'num_tokens': '1.129e+07', 'mean_token_accuracy': '0.6264', 'epoch': '0.403'}
{'loss': '1.575', 'grad_norm': '0.2042', 'learning_rate': '1.185e-05', 'entropy': '1.984', 'num_tokens': '1.143e+07', 'mean_token_accuracy': '0.6241', 'epoch': '0.4083'}
{'loss': '1.572', 'grad_norm': '0.2602', 'learning_rate': '1.174e-05', 'entropy': '1.962', 'num_tokens': '1.158e+07', 'mean_token_accuracy': '0.6214', 'epoch': '0.4135'}
{'loss': '1.655', 'grad_norm': '0.1748', 'learning_rate': '1.164e-05', 'entropy': '2.019', 'num_tokens': '1.173e+07', 'mean_token_accuracy': '0.6135', 'epoch': '0.4187'}
{'loss': '1.578', 'grad_norm': '0.2382', 'learning_rate': '1.153e-05', 'entropy': '1.98', 'num_tokens': '1.187e+07', 'mean_token_accuracy': '0.6285', 'epoch': '0.424'}
