[1/4] Environment check
=== System ===
Python: 3.12.3 | packaged by Anaconda, Inc. | (main, May  6 2024, 19:46:43) [GCC 11.2.0]
Platform: Linux-5.15.0-78-generic-x86_64-with-glibc2.35
HF_HOME: /root/autodl-tmp/cache
TRANSFORMERS_CACHE: /root/autodl-tmp/cache/transformers
HF_DATASETS_CACHE: /root/autodl-tmp/cache/datasets

=== Packages ===
torch: 2.8.0+cu128
transformers: 5.5.0
datasets: 4.8.4
trl: 1.0.0
peft: 0.18.1
accelerate: 1.13.0
bitsandbytes: 0.49.2

=== CUDA ===
torch.cuda.is_available(): True
torch.version.cuda: 12.8
bf16_supported: True
device_count: 1
GPU 0: NVIDIA RTX PRO 6000 Blackwell Server Edition | 95.0 GB | cc 12.0
[2/4] SFT warm start
{'loss': '1.755', 'grad_norm': '0.2504', 'learning_rate': '1.991e-05', 'entropy': '2.427', 'num_tokens': '1.406e+05', 'mean_token_accuracy': '0.5991', 'epoch': '0.005234'}
{'loss': '1.712', 'grad_norm': '0.2253', 'learning_rate': '1.98e-05', 'entropy': '2.273', 'num_tokens': '2.957e+05', 'mean_token_accuracy': '0.6084', 'epoch': '0.01047'}
{'loss': '1.665', 'grad_norm': '0.282', 'learning_rate': '1.97e-05', 'entropy': '2.191', 'num_tokens': '4.443e+05', 'mean_token_accuracy': '0.6123', 'epoch': '0.0157'}
{'loss': '1.677', 'grad_norm': '0.2773', 'learning_rate': '1.959e-05', 'entropy': '2.147', 'num_tokens': '5.839e+05', 'mean_token_accuracy': '0.6102', 'epoch': '0.02094'}
{'loss': '1.672', 'grad_norm': '0.3084', 'learning_rate': '1.949e-05', 'entropy': '2.088', 'num_tokens': '7.264e+05', 'mean_token_accuracy': '0.6076', 'epoch': '0.02617'}
{'loss': '1.674', 'grad_norm': '0.2798', 'learning_rate': '1.938e-05', 'entropy': '2.04', 'num_tokens': '8.688e+05', 'mean_token_accuracy': '0.6038', 'epoch': '0.03141'}
{'loss': '1.601', 'grad_norm': '0.2551', 'learning_rate': '1.928e-05', 'entropy': '1.975', 'num_tokens': '1.014e+06', 'mean_token_accuracy': '0.6178', 'epoch': '0.03664'}
{'loss': '1.644', 'grad_norm': '0.289', 'learning_rate': '1.917e-05', 'entropy': '2.006', 'num_tokens': '1.157e+06', 'mean_token_accuracy': '0.6124', 'epoch': '0.04187'}
{'loss': '1.657', 'grad_norm': '0.2871', 'learning_rate': '1.907e-05', 'entropy': '1.994', 'num_tokens': '1.304e+06', 'mean_token_accuracy': '0.6126', 'epoch': '0.04711'}
{'loss': '1.636', 'grad_norm': '0.2977', 'learning_rate': '1.896e-05', 'entropy': '2.019', 'num_tokens': '1.445e+06', 'mean_token_accuracy': '0.6104', 'epoch': '0.05234'}
{'loss': '1.647', 'grad_norm': '0.3061', 'learning_rate': '1.886e-05', 'entropy': '2.012', 'num_tokens': '1.586e+06', 'mean_token_accuracy': '0.6104', 'epoch': '0.05758'}
{'loss': '1.65', 'grad_norm': '0.3233', 'learning_rate': '1.875e-05', 'entropy': '2.038', 'num_tokens': '1.728e+06', 'mean_token_accuracy': '0.6144', 'epoch': '0.06281'}
{'loss': '1.666', 'grad_norm': '0.2933', 'learning_rate': '1.865e-05', 'entropy': '2.049', 'num_tokens': '1.878e+06', 'mean_token_accuracy': '0.6062', 'epoch': '0.06805'}
{'loss': '1.639', 'grad_norm': '0.263', 'learning_rate': '1.855e-05', 'entropy': '1.992', 'num_tokens': '2.019e+06', 'mean_token_accuracy': '0.6083', 'epoch': '0.07328'}
{'loss': '1.608', 'grad_norm': '0.3529', 'learning_rate': '1.844e-05', 'entropy': '2.01', 'num_tokens': '2.171e+06', 'mean_token_accuracy': '0.6194', 'epoch': '0.07851'}
{'loss': '1.6', 'grad_norm': '0.3336', 'learning_rate': '1.834e-05', 'entropy': '2.01', 'num_tokens': '2.323e+06', 'mean_token_accuracy': '0.6155', 'epoch': '0.08375'}
{'loss': '1.651', 'grad_norm': '0.3206', 'learning_rate': '1.823e-05', 'entropy': '2', 'num_tokens': '2.473e+06', 'mean_token_accuracy': '0.618', 'epoch': '0.08898'}
